region_id,veneer_id,suggested_veneer_id,veneer_override_id,area_physical,perimeter_physical,point_count,hole_count,component_count,locked,bbox,source_refs
1,blue,blue,blue,0.117676,0.986762,5,0,1,false,"[0, 0, 31, 16]","[[""r1c1-s20-k52-1782383951070644000"", 1], [""r1c1-s20-k52-1782383951070644000"", 2]]"
3,blue,blue,,0.046875,0.844341,5,0,1,false,"[31, 0, 43, 16]","[[""r1c1-s20-k52-1782383951070644000"", 3]]"
4,blue,blue,,0.042969,0.813124,5,0,1,false,"[43, 0, 54, 16]","[[""r1c1-s20-k52-1782383951070644000"", 4]]"
5,blue,blue,,0.039062,0.781913,5,0,1,false,"[54, 0, 64, 16]","[[""r1c1-s20-k52-1782383951070644000"", 5]]"
6,blue,blue,,0.065674,0.970685,7,0,1,false,"[15, 15, 32, 32]","[[""r1c1-s20-k52-1782383951070644000"", 6]]"
7,blue,blue,,0.060791,0.953638,5,0,1,false,"[0, 16, 16, 32]","[[""r1c1-s20-k52-1782383951070644000"", 7]]"
8,blue,blue,,0.044922,0.880354,6,0,1,false,"[29, 16, 43, 32]","[[""r1c1-s20-k52-1782383951070644000"", 8]]"
9,blue,blue,,0.042969,0.813124,5,0,1,false,"[43, 16, 54, 32]","[[""r1c1-s20-k52-1782383951070644000"", 9]]"
10,blue,blue,,0.039062,0.781913,5,0,1,false,"[54, 16, 64, 32]","[[""r1c1-s20-k52-1782383951070644000"", 10]]"
11,light,light,,0.036621,0.750340,5,0,1,false,"[0, 32, 15, 42]","[[""r1c1-s20-k52-1782383951070644000"", 11]]"
12,light,light,,0.041016,0.819526,6,0,1,false,"[15, 32, 32, 43]","[[""r1c1-s20-k52-1782383951070644000"", 12]]"
13,light,light,,0.031738,0.674183,8,0,1,false,"[30, 32, 42, 44]","[[""r1c1-s20-k52-1782383951070644000"", 13]]"
14,light,light,,0.029541,0.656994,5,0,1,false,"[42, 32, 53, 43]","[[""r1c1-s20-k52-1782383951070644000"", 14]]"
15,light,light,,0.029541,0.656994,5,0,1,false,"[53, 32, 64, 43]","[[""r1c1-s20-k52-1782383951070644000"", 15]]"
16,light,light,,0.043945,0.812804,5,0,1,false,"[0, 42, 15, 54]","[[""r1c1-s20-k52-1782383951070644000"", 16]]"
17,light,light,,0.031982,0.686561,6,0,1,false,"[31, 42, 43, 54]","[[""r1c1-s20-k52-1782383951070644000"", 17]]"
18,light,light,,0.042969,0.812812,5,0,1,false,"[15, 43, 31, 54]","[[""r1c1-s20-k52-1782383951070644000"", 18]]"
19,light,light,,0.029541,0.656994,5,0,1,false,"[43, 43, 54, 54]","[[""r1c1-s20-k52-1782383951070644000"", 19]]"
20,light,light,,0.026855,0.625783,5,0,1,false,"[54, 43, 64, 54]","[[""r1c1-s20-k52-1782383951070644000"", 20]]"
21,light,light,,0.036621,0.750340,5,0,1,false,"[0, 54, 15, 64]","[[""r1c1-s20-k52-1782383951070644000"", 21]]"
22,light,light,,0.039062,0.781581,5,0,1,false,"[15, 54, 31, 64]","[[""r1c1-s20-k52-1782383951070644000"", 22]]"
23,light,light,,0.029297,0.656625,5,0,1,false,"[31, 54, 43, 64]","[[""r1c1-s20-k52-1782383951070644000"", 23]]"
24,light,light,,0.026855,0.625391,5,0,1,false,"[43, 54, 54, 64]","[[""r1c1-s20-k52-1782383951070644000"", 24]]"
25,light,light,,0.024414,0.594572,5,0,1,false,"[54, 54, 64, 64]","[[""r1c1-s20-k52-1782383951070644000"", 25]]"
